sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
70,power2,ALRI,All Age,2.027889125,0.001956684,1.240516782,7.701327611,-13982.48482,-13973.37815
71,power2,ALRI,All Age,1.614474711,0.000553377,1.80093495,8.580833639,-13849.02554,-13839.91888
72,power2,ALRI,All Age,2.60388824,0.002845036,1.247804208,6.568036775,-13863.85234,-13854.74567
73,power2,ALRI,All Age,2.077562511,0.012883585,0.793569521,7.749939735,-13927.25095,-13918.14429
74,power2,ALRI,All Age,2.070260123,0.000887969,1.474129105,7.710232787,-13949.46186,-13940.35519
75,power2,ALRI,All Age,2.102470347,0.001289077,1.329109017,8.434784079,-13956.33984,-13947.23317
76,power2,ALRI,All Age,2.909025125,0.000925799,1.456231864,7.660853772,-13893.77489,-13884.66823
77,power2,ALRI,All Age,1.680476256,0.002195483,1.381569662,7.541069031,-14106.33387,-14097.22721
78,power2,ALRI,All Age,1.968928671,0.005823041,1.029824066,5.845344493,-13897.90638,-13888.79972
79,power2,ALRI,All Age,2.103545982,0.000635438,1.612937723,7.764902929,-13970.949,-13961.84233
80,power2,ALRI,All Age,1.790019395,0.005761375,1.087718037,8.21841828,-14084.59795,-14075.49129
81,power2,ALRI,All Age,1.530322472,0.003822445,1.26372777,6.356185927,-14017.98221,-14008.87554
82,power2,ALRI,All Age,1.589301551,0.006305111,0.9949287,8.323359908,-13931.69485,-13922.58819
83,power2,ALRI,All Age,2.256615197,0.001700488,1.399400542,5.997648246,-13842.25447,-13833.14781
84,power2,ALRI,All Age,3.01982546,0.001616991,1.299351539,7.994612693,-13881.04323,-13871.93657
85,power2,ALRI,All Age,2.884430016,0.006970871,0.744237483,7.648606014,-13824.5881,-13815.48144
86,power2,ALRI,All Age,1.851606145,0.003310853,1.15242394,7.717334815,-14115.68324,-14106.57657
87,power2,ALRI,All Age,1.991775169,0.008057812,0.864732802,7.656298798,-14013.52742,-14004.42076
88,power2,ALRI,All Age,1.834242173,0.004814233,1.115257796,7.085226755,-14073.01947,-14063.91281
89,power2,ALRI,All Age,1.75822412,0.000678161,1.715026323,7.741262112,-13918.0875,-13908.98084
90,power2,ALRI,All Age,2.343530008,0.003946422,1.18289829,6.619064696,-13854.99862,-13845.89195
91,power2,ALRI,All Age,1.771037209,0.003517436,1.173035769,7.440799105,-13984.36757,-13975.2609
92,power2,ALRI,All Age,2.246745547,0.008861443,0.694512393,7.644910234,-13766.73107,-13757.62441
93,power2,ALRI,All Age,2.359441801,0.001153992,1.436161985,8.389865601,-14009.44481,-14000.33814
94,power2,ALRI,All Age,3.458024935,0.0032227,0.823616249,6.821551283,-13870.38048,-13861.27382
95,power2,ALRI,All Age,1.763140365,0.003017475,1.293389346,6.996000228,-13813.03205,-13803.92539
96,power2,ALRI,All Age,1.938049374,0.001766415,1.312162731,7.635038898,-14096.65475,-14087.54809
97,power2,ALRI,All Age,1.80716311,0.007429294,1.054748261,7.124977519,-13987.6374,-13978.53074
98,power2,ALRI,All Age,2.080131648,0.00126046,1.439536697,6.779768055,-14056.3854,-14047.27874
99,power2,ALRI,All Age,2.496583688,0.001402288,1.46283049,7.236477589,-13822.1548,-13813.04814
100,power2,ALRI,All Age,2.206466931,0.005515299,0.947353229,8.495508825,-13932.62324,-13923.51657
101,power2,ALRI,All Age,2.443366481,0.003487111,1.119120788,6.590875468,-14147.76003,-14138.65337
102,power2,ALRI,All Age,2.713787845,0.000365536,1.592805687,8.453094302,-14020.07083,-14010.96417
103,power2,ALRI,All Age,1.951506666,0.000915885,1.514236865,7.749317873,-13959.05051,-13949.94384
104,power2,ALRI,All Age,1.583477354,0.002853389,1.231978691,7.217132083,-13883.44183,-13874.33517
105,power2,ALRI,All Age,3.143087547,0.007301277,0.610875682,7.361009289,-13846.27604,-13837.16937
106,power2,ALRI,All Age,5.492891346,0.009077508,0.543670942,6.108317401,-13923.59994,-13914.49328
107,power2,ALRI,All Age,3.085627477,0.001675269,1.264783873,6.043266481,-13879.67071,-13870.56405
108,power2,ALRI,All Age,3.082349023,0.002027751,1.146164421,8.283319979,-14016.84046,-14007.7338
109,power2,ALRI,All Age,1.843920232,0.003778469,1.128511276,7.398876044,-14068.78917,-14059.6825
110,power2,ALRI,All Age,3.786980416,0.002097993,1.03788795,7.876562688,-13881.29631,-13872.18964
111,power2,ALRI,All Age,1.407496976,0.020220519,0.792297684,7.529092567,-13896.51371,-13887.40704
112,power2,ALRI,All Age,2.061373924,0.004432083,1.149041218,6.149446889,-14058.79848,-14049.69181
113,power2,ALRI,All Age,2.531924512,0.00627577,0.979969166,8.321888189,-13943.02225,-13933.91558
114,power2,ALRI,All Age,1.386409159,0.013254364,0.862365896,6.316280347,-13858.08104,-13848.97437
115,power2,ALRI,All Age,3.149389481,0.005513197,0.908986491,7.099086009,-13981.31938,-13972.21272
116,power2,ALRI,All Age,2.672661369,0.001584985,1.287568947,7.192800842,-13847.74989,-13838.64323
117,power2,ALRI,All Age,3.048069326,0.00349915,0.967826028,7.045477438,-13964.08198,-13954.97531
118,power2,ALRI,All Age,1.468743061,0.004135233,1.110545197,7.840348627,-13931.26736,-13922.1607
119,power2,ALRI,All Age,2.111650781,0.001583145,1.450243365,7.134947529,-13786.59568,-13777.48901
120,power2,ALRI,All Age,1.858923347,0.008392889,0.856164954,6.074579941,-13929.29716,-13920.1905
121,power2,ALRI,All Age,2.299411637,0.000813922,1.467663142,7.461571625,-14181.66709,-14172.56042
122,power2,ALRI,All Age,2.353840292,0.000449989,1.753103235,7.827447123,-13861.38183,-13852.27517
123,power2,ALRI,All Age,2.192771289,0.000680721,1.603917863,6.878195087,-13801.22257,-13792.1159
124,power2,ALRI,All Age,1.883647148,0.003768081,1.271911545,8.215013359,-13884.00966,-13874.903
125,power2,ALRI,All Age,2.225854134,0.003017562,1.262771186,6.261528227,-13828.60222,-13819.49555
126,power2,ALRI,All Age,1.754910045,0.003836133,1.246993594,7.426821517,-14055.7031,-14046.59644
127,power2,ALRI,All Age,2.918060101,0.003042917,1.146527957,5.867068643,-14088.19636,-14079.0897
128,power2,ALRI,All Age,2.648188056,0.000743663,1.513264894,8.202122189,-13895.52237,-13886.41571
129,power2,ALRI,All Age,2.590221625,0.001317802,1.379532657,8.511118851,-13908.42574,-13899.31907
130,power2,ALRI,All Age,1.581524665,0.007001127,1.031965582,5.811157058,-13887.6711,-13878.56444
131,power2,ALRI,All Age,2.091786708,0.001434925,1.309467258,6.355101652,-14055.44886,-14046.3422
132,power2,ALRI,All Age,2.963825025,0.000840049,1.488811589,6.899448302,-13777.55831,-13768.45165
133,power2,ALRI,All Age,2.107721654,0.002029582,1.297344811,6.180403641,-14029.56975,-14020.46309
134,power2,ALRI,All Age,2.652498501,0.000336567,1.780266878,7.193143302,-13801.72499,-13792.61833
135,power2,ALRI,All Age,1.817795266,0.007590875,0.981976841,7.371309502,-14000.49249,-13991.38582
