"ecolilevel","sdnoboiling","sdlabboiling","sdgoodboiling","sdineffectiveboiling","sdmoderateboiling","sdworseboiling","sdbadzeroboiling","sdnegativeboiling"
560.890207670396,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
821.669393972959,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
150.181514117168,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
352.239578092936,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
193.516786718508,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
520.852205626201,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
891.102237912826,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
925.508139359998,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
493.181883245474,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
908.899840011029,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
338.259907988599,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
877.992617632961,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
695.524616953917,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
860.449935780838,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
281.72512279544,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
585.185697495239,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
113.836415343918,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
427.569487053435,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
831.305440394673,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
516.343271643855,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
786.599908048287,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
579.333005317487,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
924.176508233184,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
279.221499877051,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
364.809872130631,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
840.780275108758,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
565.021988710156,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
590.931226382498,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
241.238078239607,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
247.797954110429,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
399.00377897243,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
546.02715627593,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
692.185989988735,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
350.992416142253,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
452.109940859023,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
792.71350687393,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
930.199066446163,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
577.704050753498,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
840.973011292052,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
678.568441725569,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
502.265479808906,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
647.20494291815,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
893.749711554963,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
960.383513694163,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
824.611829144647,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
275.998095029499,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
566.904444156913,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
283.982654363848,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
555.930107678287,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
395.848347833613,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
383.278364419006,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
621.82436313387,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
215.56561468984,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
404.196947797434,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
