"ecolilevel","sdnoboiling","sdlabboiling","sdgoodboiling","sdineffectiveboiling","sdmoderateboiling","sdworseboiling","sdbadzeroboiling","sdnegativeboiling"
573.527875102125,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
557.289854380768,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
659.766961278627,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
650.099397079321,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
763.531164660119,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
854.438354451908,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
180.16497776215,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
254.012681473047,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
789.966362990672,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
817.809244031552,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
324.632351131411,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
185.746188920224,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
665.225749054458,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
347.968758475501,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
134.487350465031,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
371.941669364227,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
477.870630575344,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
833.609124399954,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
227.06240413012,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
617.058195977472,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
404.890453399625,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
714.086194232106,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
207.680146004073,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
353.087822762784,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
699.801627682988,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
316.786336810561,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
176.390201864531,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
255.318355477881,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
386.898078066995,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
366.754274486564,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
164.998915220844,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
192.517790008336,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
639.314016559627,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
513.574204133824,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
339.556248648791,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
350.528493654449,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
105.986357690068,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
761.35531335813,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
653.134593640221,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
285.72884423472,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
580.632185541559,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
209.954692559084,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
490.127475358313,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
980.247598254355,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
504.756780368043,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
343.453092930838,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
341.812110304134,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
531.884552431526,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
233.420437160879,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
227.664067444159,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
804.673524923623,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
265.065295597538,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
233.597418850986,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
961.054405977484,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
137.251830633031,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
167.952884263126,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
795.259732251056,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
557.359691828024,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
801.72446054453,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
656.320581592619,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
221.79707844113,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
991.077434086939,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
888.120046962984,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
771.956036825199,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
819.083161639981,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
