sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
86,power2,COPD,All Age,8.816690514,0.002727949,0.685879483,7.14646943,-782.1924119,-779.3602111
87,power2,COPD,All Age,15.1777579,0.001505559,0.647484566,8.323584384,-804.9247186,-802.0925178
88,power2,COPD,All Age,11.78777569,0.001602426,0.701114132,6.519612314,-773.0382351,-770.2060343
89,power2,COPD,All Age,9.795424259,0.001794866,0.708961568,7.804337252,-770.7057041,-767.8735033
90,power2,COPD,All Age,8.24114624,0.003473944,0.700064118,7.135944772,-766.0191636,-763.1869628
91,power2,COPD,All Age,13.05201733,0.000408228,0.807737209,6.960585783,-776.8358778,-774.003677
92,power2,COPD,All Age,34.54892825,0.000180329,0.763099677,6.186488028,-788.1931763,-785.3609755
93,power2,COPD,All Age,9.730499777,0.00064285,0.805570111,8.482485889,-780.1257197,-777.2935189
94,power2,COPD,All Age,15.49321873,0.002380387,0.609111908,6.129060735,-778.884872,-776.0526712
95,power2,COPD,All Age,11.54216473,0.000507291,0.800077555,6.225107209,-793.7375047,-790.9053039
96,power2,COPD,All Age,19.72523412,0.001457083,0.599694479,7.998818528,-807.1071278,-804.274927
97,power2,COPD,All Age,15.20463685,0.001219956,0.685807789,6.244116829,-800.0563955,-797.2241947
98,power2,COPD,All Age,17.40849121,0.001252739,0.62300703,7.627128209,-754.163572,-751.3313712
99,power2,COPD,All Age,14.72343896,0.000717983,0.751117909,8.69585747,-768.7450014,-765.9128006
100,power2,COPD,All Age,28.68808575,0.000941656,0.604293621,8.716853322,-774.050383,-771.2181822
101,power2,COPD,All Age,54.02650662,0.000720553,0.569954228,6.817743827,-791.4117225,-788.5795217
102,power2,COPD,All Age,13.83046083,0.001367692,0.67757079,7.272620138,-777.7331463,-774.9009455
103,power2,COPD,All Age,51.88025706,0.000325253,0.666916402,6.848027247,-756.4164936,-753.5842928
104,power2,COPD,All Age,27.42232085,0.000525335,0.6792281,7.936524642,-785.9906144,-783.1584136
105,power2,COPD,All Age,9.61066451,0.001700397,0.688669411,6.40271064,-790.0333596,-787.2011588
106,power2,COPD,All Age,17.22963453,0.001920386,0.604312619,7.567511945,-739.9602542,-737.1280534
107,power2,COPD,All Age,12.48881546,0.001510468,0.676745986,7.701327611,-797.9357128,-795.103512
108,power2,COPD,All Age,14.94167573,0.000481459,0.788069802,6.702986905,-784.0892631,-781.2570623
109,power2,COPD,All Age,13.2811839,0.00251106,0.610404367,7.582365221,-783.0777262,-780.2455254
110,power2,COPD,All Age,35.52773767,0.000297497,0.703934388,8.580833639,-788.5408094,-785.7086086
111,power2,COPD,All Age,17.57791018,0.001532205,0.617978275,7.749939735,-748.2229204,-745.3907196
112,power2,COPD,All Age,39.8523772,0.000369131,0.662833169,7.710232787,-803.5994604,-800.7672596
113,power2,COPD,All Age,107.5451646,0.0002306,0.6033565,8.675045845,-766.2222997,-763.3900989
114,power2,COPD,All Age,20.94226804,0.001294647,0.624795883,6.079066559,-754.0942749,-751.2620741
115,power2,COPD,All Age,11.79414461,0.002511111,0.637721884,6.086232686,-770.0614528,-767.229252
116,power2,COPD,All Age,15.11667269,0.000569666,0.757296674,8.434784079,-782.2887934,-779.4565926
117,power2,COPD,All Age,14.11748357,0.001102316,0.707242685,7.261446674,-764.7873202,-761.9551194
118,power2,COPD,All Age,7.537064407,9.62E-05,1.175713466,7.660853772,-763.2158992,-760.3836984
119,power2,COPD,All Age,8.919666859,0.002252425,0.703040115,7.541069031,-777.6510477,-774.8188469
120,power2,COPD,All Age,46.16639145,0.000218214,0.705433088,8.352670744,-768.906654,-766.0744532
121,power2,COPD,All Age,13.19192176,0.002019516,0.642029699,5.845344493,-754.9815822,-752.1493814
122,power2,COPD,All Age,10.88592518,0.001690478,0.693661781,8.566125094,-788.2752274,-785.4430266
123,power2,COPD,All Age,31.27078142,0.000417773,0.688317479,7.764902929,-803.5306333,-800.6984325
124,power2,COPD,All Age,9.812765741,0.001549108,0.719803001,8.21841828,-752.7240818,-749.891881
125,power2,COPD,All Age,12.4252462,0.001064551,0.722314301,6.059341247,-755.1103154,-752.2781146
126,power2,COPD,All Age,16.10707043,0.000473719,0.748198572,6.356185927,-748.4501483,-745.6179474
127,power2,COPD,All Age,14.85857114,0.0011978,0.665922641,8.252937164,-772.0912166,-769.2590158
128,power2,COPD,All Age,8.154260435,0.005777704,0.623280325,7.594936051,-785.1009777,-782.2687769
129,power2,COPD,All Age,49.29370289,0.000368062,0.636794859,7.648606014,-766.5879662,-763.7557654
130,power2,COPD,All Age,13.90903682,0.000889563,0.719468551,7.717334815,-787.0189861,-784.1867853
131,power2,COPD,All Age,21.85568541,0.000448605,0.723567018,7.746927151,-797.4115593,-794.5793585
132,power2,COPD,All Age,16.65110279,0.001898762,0.59742585,7.656298798,-788.1287874,-785.2965866
133,power2,COPD,All Age,18.64624623,0.001282039,0.643036595,8.780388327,-769.979886,-767.1476852
134,power2,COPD,All Age,32.67774844,0.000447717,0.65973089,8.208481355,-755.9431157,-753.1109149
135,power2,COPD,All Age,10.54938131,0.001512305,0.699280536,7.085226755,-754.0713901,-751.2391893
