sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
531,power2,STROKE,AllAge,1.158707781,0.001845177,1.952686706,7.33998546,-4210.689732,-4204.468339
532,power2,STROKE,AllAge,1.198914028,0.010989638,1.034191158,6.840371255,-4211.314192,-4205.0928
533,power2,STROKE,AllAge,1.46383808,0.037135175,0.386337004,6.38138987,-4235.378664,-4229.157271
534,power2,STROKE,AllAge,1.149145861,0.013987645,1.270466471,5.828897614,-4165.140261,-4158.918869
535,power2,STROKE,AllAge,1.258328027,0.0117445,1.246854919,8.512647934,-4211.536983,-4205.315591
536,power2,STROKE,AllAge,1.048768442,0.026878854,0.755000036,7.078864704,-4241.858328,-4235.636936
537,power2,STROKE,AllAge,1.29780073,0.005593822,1.478931358,7.185727479,-4186.032552,-4179.81116
538,power2,STROKE,AllAge,1.574780842,0.014389707,0.555823554,8.593109157,-4245.792753,-4239.571361
539,power2,STROKE,AllAge,1.552184277,0.027844897,0.441515786,6.944673453,-4236.984133,-4230.762741
540,power2,STROKE,AllAge,1.259536348,0.002772791,1.66012665,6.157506863,-4220.267158,-4214.045766
541,power2,STROKE,AllAge,1.035503972,0.003659577,1.688808628,7.484744293,-4233.831005,-4227.609613
542,power2,STROKE,AllAge,1.372487121,0.007672928,1.259056746,6.78420294,-4189.570482,-4183.34909
543,power2,STROKE,AllAge,1.224438025,0.006710144,1.243193011,7.702809691,-4227.70738,-4221.485988
544,power2,STROKE,AllAge,1.255816448,0.010434056,1.256303806,8.106289318,-4209.125609,-4202.904217
545,power2,STROKE,AllAge,0.96847403,0.002230348,1.979771039,8.395544783,-4217.951595,-4211.730203
546,power2,STROKE,AllAge,1.269190721,0.005077373,1.382139801,7.105561766,-4177.58536,-4171.363968
547,power2,STROKE,AllAge,1.221588145,0.020791236,0.948794583,8.6107905,-4231.368898,-4225.147506
548,power2,STROKE,AllAge,1.211588482,0.011609406,0.938777451,6.89815385,-4202.698073,-4196.47668
549,power2,STROKE,AllAge,1.170759059,0.013594967,0.997617159,8.456025216,-4176.350699,-4170.129307
550,power2,STROKE,AllAge,1.061389681,0.002718306,1.891099145,7.485702187,-4190.385602,-4184.16421
551,power2,STROKE,AllAge,1.514940911,0.012597167,1.033582523,6.013850526,-4223.957973,-4217.736581
552,power2,STROKE,AllAge,1.102159093,0.005009878,1.638779629,7.523114378,-4231.719153,-4225.497761
553,power2,STROKE,AllAge,1.262205016,0.002748399,1.822823046,7.287624436,-4269.301898,-4263.080506
554,power2,STROKE,AllAge,1.278620205,0.030073498,0.775662673,6.588861009,-4218.379558,-4212.158166
555,power2,STROKE,AllAge,1.312763153,0.005104639,1.398136357,6.045018543,-4168.106296,-4161.884904
556,power2,STROKE,AllAge,1.134728179,0.008307389,1.270764605,7.4786258,-4224.395063,-4218.173671
557,power2,STROKE,AllAge,1.22290257,0.001463573,1.906275099,6.586215458,-4150.135532,-4143.91414
558,power2,STROKE,AllAge,1.464137715,0.040375842,0.427215327,7.608406708,-4227.298374,-4221.076982
559,power2,STROKE,AllAge,1.165897469,0.002141485,1.552304218,8.517987984,-4284.3803,-4278.158908
560,power2,STROKE,AllAge,1.276649905,0.011346221,1.141061476,7.396976046,-4189.030246,-4182.808854
561,power2,STROKE,AllAge,1.217452323,0.001349781,1.987978843,6.039442916,-4186.430172,-4180.20878
562,power2,STROKE,AllAge,1.247151925,0.000703317,2.150821501,6.988176646,-4200.747477,-4194.526085
563,power2,STROKE,AllAge,1.356397671,0.031042608,0.486649578,7.755792705,-4259.721267,-4253.499875
564,power2,STROKE,AllAge,10.74454395,0.005655592,0.342583994,7.493360699,-4215.155896,-4208.934504
565,power2,STROKE,AllAge,1.942512978,0.055785338,0.325562784,6.484473574,-4230.397851,-4224.176459
566,power2,STROKE,AllAge,1.465756714,0.037744157,0.470142208,6.737186492,-4200.620659,-4194.399267
567,power2,STROKE,AllAge,1.68714306,0.011888295,0.569553928,8.075903423,-4226.8774,-4220.656008
568,power2,STROKE,AllAge,1.198256043,0.003896233,1.606986778,6.642586785,-4210.493229,-4204.271836
569,power2,STROKE,AllAge,1.321563988,0.005309859,1.31512624,8.051280438,-4223.200865,-4216.979472
570,power2,STROKE,AllAge,1.210755411,0.050220392,0.477349919,8.189891784,-4168.674943,-4162.453551
571,power2,STROKE,AllAge,1.267091295,0.009607785,1.343036794,6.123796898,-4200.181281,-4193.959889
572,power2,STROKE,AllAge,1.060658627,0.005305302,1.528776974,6.816926546,-4200.629327,-4194.407935
573,power2,STROKE,AllAge,1.165361067,0.005902136,1.266151833,8.19738833,-4233.231268,-4227.009876
574,power2,STROKE,AllAge,1.283117519,0.010305041,1.108673511,5.862711026,-4188.191041,-4181.969648
575,power2,STROKE,AllAge,1.237279246,0.004219862,1.281388883,6.915441792,-4231.260786,-4225.039394
576,power2,STROKE,AllAge,1.182862472,0.013680519,1.165653367,6.416253107,-4221.567993,-4215.346601
577,power2,STROKE,AllAge,1.314663242,0.027911466,0.755187182,8.301790283,-4246.878955,-4240.657562
