sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
88,power2,LC,All Age,223.1465538,6.46E-05,0.755942355,6.724115583,-10301.86715,-10293.557
89,power2,LC,All Age,131.2852917,8.64E-05,0.790983986,6.556922682,-10208.85448,-10200.54433
90,power2,LC,All Age,294.8657931,7.29E-05,0.724622637,6.42735065,-10161.40079,-10153.09064
91,power2,LC,All Age,83.25256379,0.000318363,0.703539334,6.681677084,-10310.06124,-10301.75109
92,power2,LC,All Age,230.7069323,9.82E-05,0.713633171,8.44121997,-10207.07995,-10198.7698
93,power2,LC,All Age,101.8423831,0.000164018,0.752354251,6.440936775,-10226.63982,-10218.32967
94,power2,LC,All Age,189.1387143,0.000211083,0.656420889,8.57707769,-10245.34401,-10237.03386
95,power2,LC,All Age,61.73353176,0.000177563,0.802018716,8.793367985,-10310.21542,-10301.90527
96,power2,LC,All Age,43.12187971,0.000388631,0.772616865,7.166007926,-10292.34972,-10284.03957
97,power2,LC,All Age,136.8911371,7.83E-05,0.795897445,7.774559971,-10251.81306,-10243.50291
98,power2,LC,All Age,39.27097533,0.000244615,0.837066068,8.01860243,-10279.618,-10271.30785
99,power2,LC,All Age,190.9155705,6.64E-05,0.774424653,5.897622959,-10217.66212,-10209.35197
100,power2,LC,All Age,93.20679777,0.000241335,0.731077209,8.360993716,-10250.39789,-10242.08774
101,power2,LC,All Age,71.79604656,0.000160766,0.797094584,7.217098129,-10235.05625,-10226.7461
102,power2,LC,All Age,66.28505289,0.000276226,0.745898768,6.781579641,-10263.4233,-10255.11315
103,power2,LC,All Age,58.12846051,0.000595596,0.688187327,8.085330134,-10251.91438,-10243.60423
104,power2,LC,All Age,77.19678315,0.000123445,0.817397466,8.232307069,-10185.44557,-10177.13542
105,power2,LC,All Age,89.52591674,0.000349045,0.683807502,8.024951435,-10246.59273,-10238.28258
106,power2,LC,All Age,154.9349607,0.000121756,0.735749756,6.952900765,-10236.65886,-10228.34871
107,power2,LC,All Age,49.2688827,0.00013753,0.856028632,6.173333534,-10160.20272,-10151.89257
108,power2,LC,All Age,157.5699553,0.000165072,0.702016439,7.509482881,-10321.71629,-10313.40614
109,power2,LC,All Age,37.81408265,0.000377784,0.792593413,7.948638257,-10241.63972,-10233.32957
110,power2,LC,All Age,157.9171054,0.000232478,0.670635711,8.350064507,-10279.69005,-10271.3799
111,power2,LC,All Age,50.86302757,4.40E-05,0.986698603,8.6722833,-10225.00453,-10216.69438
112,power2,LC,All Age,57.65204205,0.000273469,0.783552788,8.310486403,-10238.08748,-10229.77733
113,power2,LC,All Age,63.59031771,0.000226154,0.777426422,7.743249309,-10261.35481,-10253.04466
114,power2,LC,All Age,180.0231547,0.000149523,0.69640335,8.422331654,-10274.36112,-10266.05097
115,power2,LC,All Age,118.9437176,7.60E-05,0.812022709,8.179006037,-10256.20666,-10247.89651
116,power2,LC,All Age,70.97938449,0.000399334,0.712627636,6.570700577,-10240.25671,-10231.94656
117,power2,LC,All Age,159.303463,0.000170147,0.703116166,8.666048214,-10304.95014,-10296.63999
118,power2,LC,All Age,49.77424286,0.000381264,0.760548284,7.802696748,-10246.61132,-10238.30117
119,power2,LC,All Age,87.48877252,0.000230761,0.747443238,6.710107155,-10176.6107,-10168.30055
120,power2,LC,All Age,86.58607432,0.000239225,0.732938516,7.149416881,-10209.00093,-10200.69078
121,power2,LC,All Age,115.0591569,0.000216345,0.71768037,8.399391956,-10247.224,-10238.91385
122,power2,LC,All Age,138.5430723,8.52E-05,0.780324713,6.645471241,-10308.56422,-10300.25407
123,power2,LC,All Age,281.5301919,8.94E-05,0.703037183,6.266262823,-10195.44277,-10187.13262
124,power2,LC,All Age,109.8702201,0.000254701,0.693162041,7.429393324,-10181.79573,-10173.48558
125,power2,LC,All Age,173.0902393,4.46E-05,0.832320385,7.603659448,-10242.64767,-10234.33752
126,power2,LC,All Age,124.6498988,0.000112925,0.75989897,7.771910101,-10218.3854,-10210.07525
127,power2,LC,All Age,71.59128194,0.000219449,0.773595781,8.059060408,-10228.66389,-10220.35374
128,power2,LC,All Age,125.3219306,0.000180163,0.72065686,7.949564729,-10331.22556,-10322.91541
129,power2,LC,All Age,157.5774468,0.000138912,0.718477343,8.232017556,-10296.51692,-10288.20677
130,power2,LC,All Age,114.7266995,0.000126138,0.768597181,7.788199867,-10260.14257,-10251.83242
131,power2,LC,All Age,216.7361197,0.000151141,0.670835474,6.889383788,-10291.67134,-10283.36119
132,power2,LC,All Age,47.82058081,0.000383035,0.75961813,7.492860576,-10291.31131,-10283.00116
133,power2,LC,All Age,124.4689032,0.000110591,0.772024204,7.406031423,-10209.20254,-10200.89239
134,power2,LC,All Age,61.88468524,0.000307833,0.73854679,8.054864723,-10315.271,-10306.96085
