sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
533,power2,IHD,AllAge,1.225189872,0.0213057,0.918683732,8.230358934,-4794.137193,-4788.031751
534,power2,IHD,AllAge,1.312619953,0.050082301,0.425930619,6.096858511,-4706.334607,-4700.229165
535,power2,IHD,AllAge,1.553820079,0.043925473,0.381026198,6.683292809,-4749.097687,-4742.992245
536,power2,IHD,AllAge,1.377839327,0.050656786,0.397627706,6.49808425,-4731.062932,-4724.95749
537,power2,IHD,AllAge,1.170167115,0.017068167,1.050206306,7.488978085,-4737.642269,-4731.536827
538,power2,IHD,AllAge,1.383951504,0.064190932,0.37135828,8.791931298,-4807.646535,-4801.541093
539,power2,IHD,AllAge,1.735834274,0.053624616,0.320689659,7.617830949,-4741.915413,-4735.809971
540,power2,IHD,AllAge,2.190957007,0.041173542,0.322977978,7.129471106,-4735.601952,-4729.49651
541,power2,IHD,AllAge,1.231047479,0.042863754,0.584023805,8.320368896,-4723.251701,-4717.146259
542,power2,IHD,AllAge,1.24632958,0.041420969,0.639118051,7.692620331,-4717.288277,-4711.182835
543,power2,IHD,AllAge,1.381088356,0.077235326,0.35971411,6.860657976,-4706.29609,-4700.190648
544,power2,IHD,AllAge,1.205717792,0.038976064,0.744719236,6.365343515,-4743.690784,-4737.585342
545,power2,IHD,AllAge,1.961072352,0.049645363,0.303723984,5.924423465,-4718.001816,-4711.896373
546,power2,IHD,AllAge,1.582923651,0.040444084,0.374922662,8.201707546,-4773.13881,-4767.033368
547,power2,IHD,AllAge,1.35794727,0.070894792,0.389159596,8.254650343,-4740.510552,-4734.40511
548,power2,IHD,AllAge,1.298191356,0.043663751,0.556789864,8.491852801,-4716.603729,-4710.498287
549,power2,IHD,AllAge,2.016255702,0.042748233,0.321694596,6.49763213,-4740.831618,-4734.726176
550,power2,IHD,AllAge,1.738134613,0.048568045,0.351630491,5.855020435,-4742.155981,-4736.050539
551,power2,IHD,AllAge,2.752978535,0.040384764,0.278173644,8.297021041,-4743.861735,-4737.756293
